version,resource_type,n
R4,ValueSet,23662
R4,StructureDefinition,19361
R4,CodeSystem,5389
R5,StructureDefinition,4252
R5,ValueSet,3968
R4B,StructureDefinition,2818
R4,SearchParameter,1991
R5,CodeSystem,1897
R3,StructureDefinition,1751
R5,StructureMap,1258
R3,ValueSet,1154
R4,ConceptMap,1084
R4,CapabilityStatement,759
R5,NamingSystem,758
R4,ImplementationGuide,682
R5,Requirements,675
R4,Questionnaire,528
R4,OperationDefinition,397
R4,Measure,355
R3,CodeSystem,312
R4,PlanDefinition,295
R4,Basic,247
R4B,ValueSet,244
R4,NamingSystem,193
R4,ActivityDefinition,163
R6,StructureDefinition,147
R5,ConceptMap,116
R5,ImplementationGuide,100
R4,StructureMap,93
R4,MessageDefinition,79
R3,CapabilityStatement,67
R5,SearchParameter,61
R5,OperationDefinition,54
R3,ConceptMap,48
R5,ActorDefinition,37
R4,TestScript,36
R3,OperationDefinition,34
R4B,CodeSystem,34
R5,ActivityDefinition,31
R3,SearchParameter,30
R6,ValueSet,28
R6,CodeSystem,27
R5,PlanDefinition,24
R5,CapabilityStatement,22
R3,ImplementationGuide,18
R3,Questionnaire,18
R4,ExampleScenario,17
R3,MessageDefinition,14
R4B,SearchParameter,13
R4B,ImplementationGuide,11
R4,GraphDefinition,7
R4B,OperationDefinition,7
R5,ExampleScenario,7
R6,ConceptMap,6
R6,ImplementationGuide,6
R4,TerminologyCapabilities,3
R4B,CapabilityStatement,3
R6,ActivityDefinition,3
R6,PlanDefinition,3
R4B,Questionnaire,2
R4B,StructureMap,2
R5,MessageDefinition,2
R5,Questionnaire,2
R6,CapabilityStatement,2
R6,OperationDefinition,2
R3,DataElement,1
R3,PlanDefinition,1
