package,package_url,version,identity,identity_url,title,status,fmm,wg,date,realm,auth
hl7.fhir.uv.vulcan-schedule,https://build.fhir.org/ig/HL7/Vulcan-schedule-ig/,R4,ActivityDefinition/H2Q-MC-LZZT-Vital-Signs-Temperature,/xig/resource/hl7.fhir.uv.vulcan-soa%7Ccurrent/ActivityDefinition/H2Q-MC-LZZT-Vital-Signs-Temperature,Vital Signs - Temperature,active,NA,NA,NA,uv,hl7
smart.who.int.base,https://build.fhir.org/ig/WorldHealthOrganization/smart-base/,R4,ActivityDefinition/SGDecisionTableGuidance,/xig/resource/smart.who.int.base%7Ccurrent/ActivityDefinition/SGDecisionTableGuidance,SGDecisionTableGuidance,draft,NA,NA,NA,NA,who
hl7.fhir.uv.pharm-quality,https://build.fhir.org/ig/HL7/uv-dx-pq/,R5,ActivityDefinition/LyophilizationAct,/xig/resource/hl7.fhir.uv.pharm-quality%7Ccurrent/ActivityDefinition/LyophilizationAct,Lyophilization,active,NA,NA,NA,uv,hl7
hl7.fhir.uv.pharm-quality,https://build.fhir.org/ig/HL7/uv-dx-pq/,R5,ActivityDefinition/activitydefinition-test-drug-pq-ex1,/xig/resource/hl7.fhir.uv.pharm-quality%7Ccurrent/ActivityDefinition/activitydefinition-test-drug-pq-ex1,Example of ActivityDefinition - Test for test set: Long-term - 25°C/60% RH - XYZ.,active,NA,NA,NA,uv,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabCatalogService-58410-2,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabCatalogService-58410-2,Morfologia krwi 8-parametrowa,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabCatalogService-6690-2,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabCatalogService-6690-2,Leukocyty,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabCatalogService-777-3,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabCatalogService-777-3,Płytki krwi,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabServiceDefinition-14682-9,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabServiceDefinition-14682-9,Kreatynina w surowicy/osoczu,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabServiceDefinition-2160-0,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabServiceDefinition-2160-0,Kreatynina w surowicy/osoczu,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabServiceDefinition-58410-2,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabServiceDefinition-58410-2,Morfologia krwi 8-parametrowa,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabServiceDefinition-6690-2,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabServiceDefinition-6690-2,Leukocyty,active,NA,NA,NA,pl,hl7
hl7.fhir.pl.ssidl,https://build.fhir.org/ig/SSIDL/ssidl-ig/,R5,ActivityDefinition/SsidlLabServiceDefinition-777-3,/xig/resource/hl7.fhir.pl.ssidl%7Ccurrent/ActivityDefinition/SsidlLabServiceDefinition-777-3,Płytki krwi,active,NA,NA,NA,pl,hl7
fhir.cdc.opioid-cds-r4,https://build.fhir.org/ig/cqframework/opioid-cds-r4/,R4,ActivityDefinition/opioidcds-urine-screening-request-1,/xig/resource/fhir.cdc.opioid-cds-r4%7Ccurrent/ActivityDefinition/opioidcds-urine-screening-request-1,NA,draft,NA,NA,NA,us,hl7
fhir.cdc.opioid-cds-r4,https://build.fhir.org/ig/cqframework/opioid-cds-r4/,R4,ActivityDefinition/opioidcds-urine-screening-request-2,/xig/resource/fhir.cdc.opioid-cds-r4%7Ccurrent/ActivityDefinition/opioidcds-urine-screening-request-2,NA,draft,NA,NA,NA,us,hl7
silfhirprofileig,https://build.fhir.org/ig/savannahghi/sil_fhir_profile_ig/,R5,ActivityDefinition/ExampleActivityDefintion,/xig/resource/silfhirprofileig%7Ccurrent/ActivityDefinition/ExampleActivityDefintion,Example ActivityDefinition Title,draft,NA,NA,NA,NA,NA
hl7.fhir.nz.cca,file:///Users/davidhay/IG/cca/output,R4,ActivityDefinition/ActCabergoline,/xig/resource/hl7.fhir.nz.cca%7C0.1.0/ActivityDefinition/ActCabergoline,NA,draft,NA,NA,NA,nz,hl7
hl7.fhir.nz.cca,file:///Users/davidhay/IG/cca/output,R4,ActivityDefinition/ActTragacanth,/xig/resource/hl7.fhir.nz.cca%7C0.1.0/ActivityDefinition/ActTragacanth,NA,draft,NA,NA,NA,nz,hl7
smart.who.int.anc,https://build.fhir.org/ig/WorldHealthOrganization/smart-anc/,R4,ActivityDefinition/activitydefinition-anc-120mg-daily-elemental-iron,/xig/resource/smart.who.int.anc%7Ccurrent/ActivityDefinition/activitydefinition-anc-120mg-daily-elemental-iron,ActivityDefinition - ANC 120mg Daily Elemental Iron,active,NA,NA,NA,uv,who
smart.who.int.anc,https://build.fhir.org/ig/WorldHealthOrganization/smart-anc/,R4,ActivityDefinition/activitydefinition-anc-120mg-weekly-elemental-iron,/xig/resource/smart.who.int.anc%7Ccurrent/ActivityDefinition/activitydefinition-anc-120mg-weekly-elemental-iron,ActivityDefinition - ANC 120mg Weekly Elemental Iron,active,NA,NA,NA,uv,who
smart.who.int.anc,https://build.fhir.org/ig/WorldHealthOrganization/smart-anc/,R4,ActivityDefinition/activitydefinition-anc-2800ug-weekly-folic-acid,/xig/resource/smart.who.int.anc%7Ccurrent/ActivityDefinition/activitydefinition-anc-2800ug-weekly-folic-acid,ActivityDefinition - ANC 2800ug Weekly Folic Acid,active,NA,NA,NA,uv,who
smart.who.int.anc,https://build.fhir.org/ig/WorldHealthOrganization/smart-anc/,R4,ActivityDefinition/activitydefinition-anc-30mg-60mg-daily-elemental-iron,/xig/resource/smart.who.int.anc%7Ccurrent/ActivityDefinition/activitydefinition-anc-30mg-60mg-daily-elemental-iron,ActivityDefinition - ANC 30mg-60mg Daily Elemental Iron,active,NA,NA,NA,uv,who
smart.who.int.anc,https://build.fhir.org/ig/WorldHealthOrganization/smart-anc/,R4,ActivityDefinition/activitydefinition-anc-400ug-daily-folic-acid,/xig/resource/smart.who.int.anc%7Ccurrent/ActivityDefinition/activitydefinition-anc-400ug-daily-folic-acid,ActivityDefinition - ANC 400ug Daily Folic Acid,active,NA,NA,NA,uv,who
smart.who.int.anc,https://build.fhir.org/ig/WorldHealthOrganization/smart-anc/,R4,ActivityDefinition/activitydefinition-anc-60mg-daily-elemental-iron,/xig/resource/smart.who.int.anc%7Ccurrent/ActivityDefinition/activitydefinition-anc-60mg-daily-elemental-iron,ActivityDefinition - ANC 60mg Daily Elemental Iron,active,NA,NA,NA,uv,who
fhir.cdc.opioid-cds-r4,https://build.fhir.org/ig/cqframework/opioid-cds-r4/,R4,ActivityDefinition/opioidcds-urine-screening-request,/xig/resource/fhir.cdc.opioid-cds-r4%7Ccurrent/ActivityDefinition/opioidcds-urine-screening-request,ActivityDefinition - Urine Screening ServiceRequest,draft,NA,NA,NA,us,hl7
de.netzwerk-universitaetsmedizin.ebm-cpg,https://www.netzwerk-universitaetsmedizin.de/fhir/cpg-on-ebm-on-fhir,R5,ActivityDefinition/ExampleDrugAdministrationAction,/xig/resource/de.netzwerk-universitaetsmedizin.ebm-cpg%7C1.2.0/ActivityDefinition/ExampleDrugAdministrationAction,DrugAdministrationAction,active,NA,NA,NA,uv,hl7
