"realm","count","percentage"
"",22398,29.7
"us",19481,25.8
"uv",17592,23.3
"nl",2153,2.9
"de",2066,2.7
"fr",1545,2
"ch",1527,2
"dk",1474,2
"eu",1253,1.7
"tw",901,1.2
"ca",764,1
"au",648,0.9
"cl",469,0.6
"be",387,0.5
"cz",384,0.5
"il",308,0.4
"br",299,0.4
"jp",293,0.4
"ee",276,0.4
"it",181,0.2
"in",163,0.2
"sami",137,0.2
"stt",116,0.2
"vn",107,0.1
"uk",97,0.1
"fi",87,0.1
"pl",83,0.1
"nz",79,0.1
"cr",45,0.1
"se",29,0
"no",26,0
"test",15,0
"essilux",11,0
"kr",5,0
"examples",4,0
"rdsuwearme",3,0
"efss",2,0
"sl",2,0
"nume",1,0
