"resource_type","count","percentage"
"ValueSet",29056,38.5
"StructureDefinition",28329,37.6
"CodeSystem",7659,10.2
"SearchParameter",2095,2.8
"StructureMap",1353,1.8
"ConceptMap",1254,1.7
"NamingSystem",951,1.3
"CapabilityStatement",853,1.1
"ImplementationGuide",817,1.1
"Requirements",675,0.9
"Questionnaire",550,0.7
"OperationDefinition",494,0.7
"Measure",355,0.5
"PlanDefinition",323,0.4
"Basic",247,0.3
"ActivityDefinition",197,0.3
"MessageDefinition",95,0.1
"ActorDefinition",37,0
"TestScript",36,0
"ExampleScenario",24,0
"GraphDefinition",7,0
"TerminologyCapabilities",3,0
"DataElement",1,0
