"package_id","realm","fhir_version","name","country","category","description"
"hl7.fhir.us.core","US","4.0.1","US Core","us","National Base","Base US national implementation guide"
"hl7.fhir.au.base","AU","4.0.1","AU Base","au","National Base","AU Base implementation guide provides support for the use of FHIR®© in an Australian context."
"hl7.fhir.au.core","AU","4.0.1","AU Core","au","National Base","AU Core implementation guide provides support for the use of FHIR®© in an Australian context, and defines the minimum set of constraints on the FHIR resources to create the AU Core profiles."
"fhir.org.nz.ig.base","NZ","4.0.1","NZ Base","nz","National Base","Base New Zealand national implementation guide"
"hl7.fhir.us.ccda","US","4.0.1","CCDA on FHIR","us","Clinical Documents","US Realm Implementation Guide (IG) addressing the key aspects of Consolidated CDA (C-CDA) required for Meaningful Use (MU). This IG focuses on the clinical document header and narrative constraints necessary for human readability, and references the Data Access Framework (DAF) implementation guide for coded data representation"
"hl7.fhir.uv.sdc","International","4.0.1","SDC (Structured Data Capture)","uv","Forms Management","Defines expectations for sharing of Questionnaires and answers, including mechanisms for automatically populating portions of a questionnaire based on embedded mappings to underlying data elements"
"hl7.fhir.us.sdcde","US","3.0.1","SDC Data Elements Registry","us","Forms Management","Defines expectations for sharing of data elements between registries"
"hl7.fhir.us.lab","US","1.0.2","US Lab","us","Diagnostics","US Realm Laboratory ordering and reporting between ambulatory care setting and the laboratory and laboratory reporting to public health jurisdictions"
"hl7.fhir.us.daf","US","3.0.1","DAF","us","EHR Access","Basic arrangements for accessing meaningful use data from EHR systems **NOTE: DAF has been superseded by Argonaut, DAF-Research and US-Core**"
"fhir.argonaut.r2","US","1.0.2","Argonaut Data Query","us","EHR Access","This implementation guide is based upon DSTU2 FHIR standard and covers the US EHR data access for the ONC Common Clinical Data Set and retrieval of static documents"
"fhir.hspc.core","US",NA,"HSPC EHR Guide","us","EHR Access","Builds on Argonaut to make agreements around consistent data (in progress)"
"hl7.fhir.us.meds","US","3.0.1","US Meds Maturity Project","us","Medications / Immunizations","US Meds Maturity Project: promote consistent use of the FHIR pharmacy resources in the US Realm"
"hl7.fhir.us.qicore","US","4.0.1","QICore","us","Quality / CDS","QICore defines a uniform way for quality measurement and decision support knowledge to refer to clinical data. The profiles align as much as possible with DAF and incorporate content from the (Quality Data Model) and the (Virtual Medical Record) specifications"
"hl7.fhir.us.daf-research","US","3.0.1","DAF-Research","us","Research","DAF-Research IG focuses on enabling researchers to access data from multiple organizations"
"hl7.fhir.us.hai","US","4.0.1","US HAI","us","Medication / Immunization","Specifies standards for electronic submission of Healthcare Associated Infection (HAI) reports to the National Healthcare Safety Network (NHSN) of the Centers for Disease Control and Prevention (CDC)"
"hl7.fhir.us.breastcancer","US","3.0.1","US Breast Cancer Data","us","Diagnostics","Logical models and FHIR profiles for supporting breast cancer staging estimation, including the traditional three-component staging involving primary tumor classification, regional lymph nodes and distant metastases, as well as other factors important to prognosis and recurrence risk, such as tumor grade, hormone receptor status (progesterone and estrogen), as well as human epidermal growth factor 2 (HER 2) status"
"hl7.fhir.uv.genomics-reporting","International","4.0.1","Genomics Reporting","uv","Diagnostics","This implementation guide tries to provide guidance that will enable improved interoperable and computable sharing of genetic testing results"
"fhir.argonaut.pd","US","3.0.1","Argonaut Provider Directory","us","Administration","This implementation guide is based upon STU3 FHIR standard and outlines the key data elements for any provider directory and basic query guidance. The components developed in this guide are intended to provide a foundation for a central or distributed Provider or Healthcare Directory"
"fhir.argonaut.scheduling","US","3.0.1","Argonaut Scheduling","us","Administration","This implementation guide is based upon STU3 FHIR standard and provides FHIR RESTful APIs and guidance for access to and booking of appointments for patients by both patient and practitioner end users"
"hl7.fhir.uv.ips","International","4.0.1","International Patient Summary","uv","Patient Summary","The International Patient Summary (IPS) is a minimal and non-exhaustive patient summary, specialty-agnostic, condition-independent, but readily usable by clinicians for the cross-border unscheduled care of a patient"
"ihe.iti.pdqm","International","4.0.1","IHE Patient Demographics Query for Mobile (PDQm)","uv","Administration","Defines a lightweight RESTful interface to a patient demographics supplier leveraging technologies readily available to mobile applications and lightweight browser based applications"
"ihe.iti.pixm","International","4.0.1","IHE Patient Identifier Cross-referencing for Mobile (PIXm)","uv","Administration","Defines a lightweight RESTful interface to a Patient Identifier Cross-reference Manager, leveraging technologies readily available to mobile applications and lightweight browser based applications"
"ihe.iti.pmir","International","4.0.1","IHE Patient Master Identity Registry (PMIR)","uv","Administration","Supports the creating, updating and deprecating of patient master identity information about a subject of care, as well as subscribing to these changes, using the HL7 FHIR standard and its RESTful transactions. In PMIR, “patient identity” information includes all information found in the FHIR Patient Resource such as identifier, name, phone, gender, birth date, address, marital status, photo, others to contact, preference for language, general practitioner, and links to other instances of identities. The “patient master identity” is a dominant identity managed centrally among many participating organizations (a.k.a., “Golden Patient Identity”)."
"ihe.iti.atna","International","4.0.1","IHE FHIR AuditEvent query and feed to ATNA","uv","Privacy / Security","Enable audit log recording (feed) and access to ATNA Audit Repository queries using FHIR AuditEvent resource"
"ihe.iti.macm","International","4.0.1","IHE Mobile Alert Communication Management(mACM)","uv","Communications","Provides the infrastructural components needed to send short, unstructured text alerts to human recipients and can record the outcomes of any human interactions upon receipt of the alert. "
