"fhir_version","realm","n"
"4.0.1","US",93
"4.0.1","International",92
"5.0.0","International",21
"4.0.1","DK",20
"4.0.1","CH",18
"4.0.1","BE",14
"3.0.1","International",12
"3.0.1","US",11
"4.0.1","TW",9
"4.0.1","EU",7
"5.0.0","EU",4
"4.0.1","CA",3
"4.0.1","FI",3
"4.0.1","JP",3
"1.0.2","US",2
"3.0.2","NL",2
"4.0.0","US",2
"4.0.1","AT",2
"4.0.1","AU",2
"4.0.1","BR",2
"4.0.1","IT",2
"4.0.1","SE",2
"4.3.0","International",2
"5.0.0","US",2
"6.0.0","International",2
"3.0.1","AU",1
"3.0.1","DE",1
"3.0.1","NL",1
"4.0.0","International",1
"4.0.1","BD",1
"4.0.1","DE",1
"4.0.1","FR",1
"4.0.1","IN",1
"4.0.1","KR",1
"4.0.1","NL",1
"4.0.1","NO",1
"4.0.1","NZ",1
"4.0.1","UK",1
"5.0.0","AT",1
"5.0.0","AU",1
"5.0.0","ES",1
"5.0.0","PL",1
