"package_id","realm","fhir_version","name","country","category","description"
"hl7.fhir.us.core","US","4.0.1","US Core","us","National Base","Base US national implementation guide"
"hl7.fhir.us.ccda","US","4.0.1","CCDA on FHIR","us","Clinical Documents","US Realm Implementation Guide (IG) addressing the key aspects of Consolidated CDA (C-CDA) required for Meaningful Use (MU). This IG focuses on the clinical document header and narrative constraints necessary for human readability, and references the Data Access Framework (DAF) implementation guide for coded data representation"
"hl7.fhir.us.sdcde","US","3.0.1","SDC Data Elements Registry","us","Forms Management","Defines expectations for sharing of data elements between registries"
"hl7.fhir.us.lab","US","1.0.2","US Lab","us","Diagnostics","US Realm Laboratory ordering and reporting between ambulatory care setting and the laboratory and laboratory reporting to public health jurisdictions"
"hl7.fhir.us.daf","US","3.0.1","DAF","us","EHR Access","Basic arrangements for accessing meaningful use data from EHR systems **NOTE: DAF has been superseded by Argonaut, DAF-Research and US-Core**"
"fhir.argonaut.r2","US","1.0.2","Argonaut Data Query","us","EHR Access","This implementation guide is based upon DSTU2 FHIR standard and covers the US EHR data access for the ONC Common Clinical Data Set and retrieval of static documents"
"fhir.hspc.core","US",NA,"HSPC EHR Guide","us","EHR Access","Builds on Argonaut to make agreements around consistent data (in progress)"
"hl7.fhir.us.meds","US","3.0.1","US Meds Maturity Project","us","Medications / Immunizations","US Meds Maturity Project: promote consistent use of the FHIR pharmacy resources in the US Realm"
"hl7.fhir.us.qicore","US","4.0.1","QICore","us","Quality / CDS","QICore defines a uniform way for quality measurement and decision support knowledge to refer to clinical data. The profiles align as much as possible with DAF and incorporate content from the (Quality Data Model) and the (Virtual Medical Record) specifications"
"hl7.fhir.us.daf-research","US","3.0.1","DAF-Research","us","Research","DAF-Research IG focuses on enabling researchers to access data from multiple organizations"
"hl7.fhir.us.hai","US","4.0.1","US HAI","us","Medication / Immunization","Specifies standards for electronic submission of Healthcare Associated Infection (HAI) reports to the National Healthcare Safety Network (NHSN) of the Centers for Disease Control and Prevention (CDC)"
"hl7.fhir.us.breastcancer","US","3.0.1","US Breast Cancer Data","us","Diagnostics","Logical models and FHIR profiles for supporting breast cancer staging estimation, including the traditional three-component staging involving primary tumor classification, regional lymph nodes and distant metastases, as well as other factors important to prognosis and recurrence risk, such as tumor grade, hormone receptor status (progesterone and estrogen), as well as human epidermal growth factor 2 (HER 2) status"
"fhir.argonaut.pd","US","3.0.1","Argonaut Provider Directory","us","Administration","This implementation guide is based upon STU3 FHIR standard and outlines the key data elements for any provider directory and basic query guidance. The components developed in this guide are intended to provide a foundation for a central or distributed Provider or Healthcare Directory"
"fhir.argonaut.scheduling","US","3.0.1","Argonaut Scheduling","us","Administration","This implementation guide is based upon STU3 FHIR standard and provides FHIR RESTful APIs and guidance for access to and booking of appointments for patients by both patient and practitioner end users"
"hl7.fhir.us.ecr","US","4.0.1","Electronic Case Reporting","us","Medication / Immunization","The Electronic Case Reporting (eCR) Implementation Guide supports Reporting, investigation, and management via electronic transmission of clinical data from Electronic Health Records to Public Health Agencies, along with the management and processing of population cases. Ths IG covers Bi-directional information exchange and triggering and decision support"
"hl7.fhir.us.davinci-crd","US","4.0.1","Coverage Requirements Determination (Da Vinci)","us","Financial","Provides a mechanism for healthcare providers to discover guidelines, pre-authorization requirements and other expectations from payor organizations related to a proposed medication, procedure or other service associated with a patient's insurance coverage. Supports both patient-specific and patient-independent information retrieval"
"hl7.fhir.us.davinci-deqm","US","4.0.1","Data Exchange for Quality Measures (Da Vinci)","us","Financial","Provides a mechanism for healthcare providers and data aggregators to exchange quality measure information using subscription, query, and push methods"
"hl7.fhir.us.odh","US","4.0.1","Occupational Data for Health","us","Clinical Observations","This IG covers the specific data that covers past or present jobs, usual work, employment status, retirement date and combat zone period for the subject. It also includes the past or present jobs and usual work of other household members"
"hl7.fhir.us.bser","US","4.0.1","Bidirectional Services eReferrals (BSeR) FHIR IG","us","Medication / Immunization","The Bidirectional Services eReferrals (BSeR) FHIR IG provides guidance on STU3 FHIR Resources and US Core IG profiles for use in exchanging a referral request and specific program data from a clinical provider to a typically extra-clinical program service provider, such as a diabetes prevention program, a smoking quitline, or a hypertension management training program. And provides for the return of feedback information from the service program to the referring provider"
"hl7.fhir.us.bulkdata","US","4.0.0","FHIR Bulk Data Access","us","EHR Access","This Implementation Guide defines secure FHIR export Operations that use this capability to provide an authenticated and authorized client with the ability to register as a backend service and retrieve any data in a FHIR server, data on all patients in a server, or data on a group of patients while optionally specifying data since a certain date"
"hl7.fhir.us.cdmh","US","4.0.1","Common Data Models Harmonization FHIR IG","us","Research","The CDMH FHIR IG provides the guidance necessary to map the four common data models namely Sentinel, PCORnet CDM, i2b2 and OMOP to FHIR resources and profiles"
"hl7.fhir.us.cqfmeasures","US","4.0.1","Quality Measure Implementation Guide","us","Quality / CDS","Provides profiles and guidance for the representation of clinical quality measures in FHIR and Clincal Quality Language (CQL)"
"hl7.fhir.us.davinci-dtr","US","4.0.1","Documentation Templates and Rules","us","Financial","Provides a mechanism for delivering and executing payer rules related to documentation requirements for a proposed medication, procedure or other service associated with a patient's insurance coverage"
"hl7.fhir.us.davinci-hrex","US","4.0.1","Da Vinci Health Record Exchange","us","Financial","A library of shared artifacts used by other Da Vinci and payer related implementation guides"
"hl7.fhir.us.eltss","US","4.0.1","electronic Long-Term Services and Supports Implementation Guide","us","Medication / Immunization","Provides guidance to US Realm implementers to use the FHIR for implementing access and exchange Electronic Long-Term Services & Supports (eLTSS) Dataset data elements"
"hl7.fhir.us.patient-reported-outcomes","US","4.0.0","Patient Reported Outcomes (PRO) FHIR IG","us","Personal Healthcare","This IG provides the necessary guidance to use FHIR for Patient Reported Outcomes"
"hl7.fhir.us.phcp","US","4.0.1","Pharmacist Care Plan FHIR IG","us","Medications / Immunizations","This is an electronic care plan with enhanced Medications / Immunizations content based on the templates in the HL7 Implementation Guide for C-CDA Release 2.1: Consolidated CDA for Clinical Notes, represented using FHIR profiles"
"hl7.fhir.us.vrdr","US","4.0.1","Vital Records Mortality and Morbidity Reporting FHIR IG","us","Medication / Immunization","The VRDR FHIR IG provides guidance regarding the use of FHIR resources for the bidirectional exchange of mortality data between State-run PHA Vital Records offices and NCHS"
"hl7.fhir.us.womens-health-registries","US","4.0.1","Womens Health Technology Coordinated Registry Network FHIR IG","us","Clinical Registries","The purpose of the IG to provide the necessary guidance to use FHIR to build registries specific to monitoring Womens Health"
"argonaut.us.clinicalnotes","US","3.0.1","Argonaut Clinical Notes Implementation Guide","us","EHR Access","This implementation guide provides implementers with FHIR profiles and guidance to create, use, and share Clinical Notes"
"argonaut.us.questionnaire","US","3.0.1","Argonaut Questionnaire Implementation Guide","us","EHR Access","This implementation guide provides implementers with FHIR RESTful APIs and guidance to create, use and share between organizations standard assessment forms and the assessment responses"
"hl7.fhir.us.Davinci-drug-formulary","US","4.0.1","US Drug Formulary","us","Medications / Immunizations","API-based data exchange to Third-Party Applications via Member-authorized sharing of Health Plan's Prescription Drug Formulary."
"hl7.fhir.us.davinci-cdex","US","4.0.1","Da Vinci CDex","us","Financial","Provider-to-payer and payer-related provider-to-provider data exchange to improve care coordination, support risk adjustment, ease quality management, facilitate claims auditing and confirm medical necessity, improve member experience, and support orders and referrals."
"hl7.fhir.us.davinci-pdex","US","4.0.1","Da Vinci PDex","us","Financial","Payer data exchange with providers to support care coordination. Member-authorized sharing to Third-Party applications of Health Plan's Healthcare Service Network, Pharmacy Network and Prescription Drug Formulary"
"hl7.fhir.us.hai-ltcf","US","4.0.1","Healthcare Associated Infection Reports (HAI) Long Term Care Facilities (LTCF)","us","Medication / Immunization","Long term care facility (LTCF) healthcare-associated infection (HAI) reporting to CDC National Healthcare Safety Network (NHSN) to track infections and prevention process measures in a systematic way, which allows identification of problems and care improvement"
"hl7.fhir.us.davinci-alerts","US","4.0.1","Da Vinci Unsolicited Notifications (Alerts)","us","Financial","The goal of this IG is to support the real-time exchange of alerts and notifications that impact patient care and value based or risk based services"
"hl7.fhir.us.davinci-pcde","US","4.0.1","Da Vinci Payer Coverage Decision Exchange (PCDE) FHIR IG","us","Financial","Payer coverage decision exchange will promote continuity of treatment when a member moves from one covered payer to another without increasing provider burden or cost to the member. This IG enables member-authorized sharing of treatment, conditions, authorizations, relevant guidelines and supporting documentation from an original payer to a new payer when a patient changes coverage plans."
"hl7.fhir.us.breast-radiology","US","4.0.1","Breast Radiology Report (BRR)","us","Care Management","Breast Radiology CIMI Logical Models and FHIR Profiles"
"hl7.fhir.us.mcode","US","4.0.1","Minimal Common Oncology Data Elements (mCODE)","us","Care Management","This IG specifies a core set of common data elements for cancer that is clinically applicable in every electronic patient record with a cancer diagnosis. It is intended to enable standardized information exchange among EHRs/oncology information systems and reuse of data by other stakeholders (e.g. quality measurement, research)."
"hl7.fhir.us.davinci-pas","US","4.0.1","Da Vinci Prior Authorization Support (PAS) FHIR IG","us","Financial","This IG allows providers the ability to easily identify the need for payer authorizations, assemble necessary information, identify and supply missing information and submit it to the payer electronically and receive a response in real time within the clinical workflow."
"hl7.fhir.us.davinci-pdex-plan-net","US","4.0.1","Davinci pdex Plan Net","us","Administration","A subset of the functionality described in the Validated healthcare directory IG"
"fhir.argonaut.clinicalnotes","US","3.0.1","Argonaut Clinical Notes Implementation Guide","us","EHR Access","This implementation guide provides implementers with FHIR profiles and guidance to create, use, and share Clinical Notes"
"fhir.argonaut.questionnaire","US","3.0.1","Argonaut Questionnaire Implementation Guide","us","EHR Access","Thi IG provides guidance to support interchange of simple forms based on the Questionnaire and QuestionnaireResponse resources: it provides implementers with FHIR RESTful APIs and guidance to create, use and share between organizations standard assessment forms and the assessment responses"
"hl7.fhir.us.carin-rtpbc","US","4.0.1","CARIN Real-time Pharmacy Benefit Check","us","Financial","This is a guide for implementing a consumer-focused Real-time Pharmacy Benefit Check (RTPBC) process using HL7 FHIR® R4.Using RTPBC, a patient can learn the cost and insurance coverage related to medications they’ve been prescribed"
"hl7.fhir.us.carin-bb","US","4.0.1","CARIN Blue Button Implementation Guide","us","Financial","Implementation guide for an API similar to the CMS Medicare Blue Button 2.0 API, FHIR R3 based, that will allow consumer-directed exchange of commercial Health Plan/Payer adjudicated claims data to meet the requirements of the CMS Interoperability and Patient Access proposed rule."
"hl7.fhir.us.davinci-atr","US","4.0.1","Risk Based Contracts Member Attribution List FHIR IG","us","Financial","Support the real-time exchange of alerts and notifications that impact patient care and value based or risk based services."
"hl7.fhir.us.dme-orders","US","4.0.1","Post Acute Orders FHIR IG","us","Care Management","Electronic exchange of post-acute orders"
"hl7.fhir.us.davinci-drug-formulary","US","4.0.1","US Drug Formulary","us","Medications / Immunizations","API-based data exchange to Third-Party Applications via Member-authorized sharing of Health Plan's Prescription Drug Formulary."
"hl7.fhir.us.dental-data-exchange","US","4.0.1","Dental Data Exchange","us","Clinical Observations","This FHIR R4 IG defines exchange of medical and dental information exchange between medical/dental and dental/dental realms, including referral and corresponding consult note using US-core, CCDAonFHIR, Occupational Data for Health, and Da Vinci profiles."
"hl7.fhir.us.fhir-medmorph","US","4.0.1","Making Ehr Data MOre Available to Research and Public Health (MedMorph)","us","Medication / Immunization","The The MedMorph FHIR IG enables Public Health and Research Organizations to access EHR data without increasing provider burden."
"hl7.fhir.us.pacio-fs","US","4.0.1","PACIO Functional Status Implementation Guide","us","Patient Summary","FHIR R4 IG that leverages eLTSS and utilizes the Self-Care, Mobility and Prior Device use sections of CMS assessment forms (IRF-PAI, MDS, OASIS, LTCH) to enable the sharing of functional status information when a patient moves from one clinical care setting to another."
"hl7.fhir.us.pacio-cs","US","4.0.1","PACIO Cognitive Status Implementation Guide","us","Patient Summary","FHIR R4 IG that leverages eLTSS and utilizes the Confusion Assessment Method (CAM) assessment to enable the sharing of cognitive status information when a patient moves from one clinical care setting to another."
