"package_name","Description","fhir_version","realm"
"SliceBugTest",NA,"STU3","Other"
"Furoretestproject",NA,"STU3","Other"
"Simplifier.Core.Stu3.DataTypes","These are the FHIR Core STU3 Data types. This is a temporary package until the offical HL7 FHIR Core Packages are released and published on Simplifier.","STU3","International"
"Simplifier.Core.STU3.ValueSets","These are the FHIR Core STU3 ValueSets. This is a temporary package until the offical HL7 FHIR Core Packages are released and published on Simplifier.","STU3","International"
"Simplifier.Core.STU3.CodeSystems","These are the FHIR Core STU3 Code Systems. This is a temporary package until the offical HL7 FHIR Core Packages are released and published on Simplifier.","STU3","International"
"Simplifier.Core.STU3.Extensions","These are the FHIR Core STU3 Extensions. This is a temporary package until the offical HL7 FHIR Core Packages are released and published on Simplifier.","STU3","International"
"Simplifier.Core.STU3","This is a meta package that contains the FHIR Core STU3 Specification. It does not contain resources, but it has dependencies to all packages needed to get the full specification. ","STU3","International"
"Demo.National.PatientCare","Demo project to show the use of packages","STU3","Other"
"Demo.Regional.PatientCare","Demo project to show the use of packages ","STU3","Other"
"gefyra.sandbox","Release version","STU3","Other"
"ufp.core","The United Federation of Planet (UFP) FHIR Implementation Guide of intergalactic scope","STU3","Other"
"dummy.first","Dummy package testing version 2","STU3","Other"
"MySimplifierProject.core","My Simplifier Project","STU3","Other"
"MySimplifier.Project","My Simplifier Project","STU3","Other"
"ProvincialClientRegi.core","FHIR based Implementation Guide for provincial CR system","STU3","Other"
"basisprofil.de","Projekt Basisprofilierung (HL7 Deutschland e.V.)
Fassung für das Abstimmungsverfahren zur Kommentierung (11-12/2018) mit Ergänzung der Geschlechts-Differenzierung divers/unbestimmt","STU3","DE"
"PGO.02","WEM ZWConnect","STU3","Other"
"irrs.pkg","IRRS Project","STU3","Other"
"cihi.irrs.pkg","IRRS Project","STU3","Other"
"cihi.pkg","CIHI Project","STU3","Other"
"cihi.irrs","IRRS Project","STU3","Other"
"private.package.test","Testing private packages","STU3","Other"
"test.my.first.package","This is my test description, see if it gets in the package.manifest","STU3","Other"
"TestProjekt2.test","Test Projekt","STU3","Other"
"Simplifier.Others.Stu3","Profiles that are part of the core specification but are not base profiles","STU3","Other"
"nictiz.fhir.nl.stu3.zib2017","Nictiz NL package of FHIR STU3 conformance resources for HCIM Release 2017. Includes MedMij and HL7 NL.

HCIMs: https://zibs.nl/wiki/HCIM_Release_2017(EN)","STU3","NL"
"Simplifier.Core.STU3.Resources","These are the STU3 Core Profile StructureDefinitions describing resources.

","STU3","International"
"Simplifier.Core.STU3.ProfilesOthers","Profiles that are part of the core specification but are not base profiles","STU3","International"
"HL7Norway.STU3.no.basis","Basis profiles developed by HL7 Norway.","STU3","NO"
"simplifier.core.r4.v2tables","The HL7 FHIR core R4 specification v2 tables.","R4","International"
"simplifier.core.r4.v3codesystems","The HL7 FHIR core R4 specification v3 code systems","R4","International"
"simplifier.core.r4.valuesets","The HL7 FHIR core R4 specification Valuesets","R4","International"
"simplifier.core.r4.conceptmaps","The HL7 FHIR core R4 specification ConceptMaps","R4","International"
"simplifier.core.r4.tx","The HL7 FHIR core R4 specification Terminology Meta Package","R4","International"
"simplifier.core.r4.types","The HL7 FHIR core R4 specification Data Types","R4","International"
"simplifier.core.r4.resources","The HL7 FHIR core R4 Specification Base Resources","R4","International"
"simplifier.core.r4.profiles","The HL7 FHIR core R4 Specification Common Derived Profiles","R4","International"
"simplifier.core.r4.extensions","The HL7 FHIR core R4 Specification Common Extensions","R4","International"
"simplifier.core.r4.searchparameters","The HL7 FHIR core R4 Specification Search Parameters","R4","International"
"simplifier.core.r4.base","Meta package for the HL7 FHIR core R4 Specification Base resources and Data Types","R4","International"
"simplifier.core.r4","Meta package for the HL7 FHIR core R4 Specification

This package does not include the DataElements. You can include them seperately in your dependencies if you need them.","R4","International"
