"slug","packageId","version","ok","note"
"core","hl7.fhir.us.core","8.0.0",FALSE,"Registry download failed: could not find function ""resp_body_file"""
"core","hl7.fhir.us.core","8.0.0",FALSE,"No StructureDefinitions found"
"qicore","hl7.fhir.us.qicore","current",FALSE,"Registry download failed: [38;5;255mHTTP 404 Not Found.[39m"
"qicore","hl7.fhir.us.qicore","current",FALSE,"No StructureDefinitions found"
"carin-bb","hl7.fhir.us.carin-bb","current",FALSE,"Registry download failed: [38;5;255mHTTP 404 Not Found.[39m"
"carin-bb","hl7.fhir.us.carin-bb","current",FALSE,"No StructureDefinitions found"
"davinci-pdex","hl7.fhir.us.davinci-pdex","current",FALSE,"Registry download failed: [38;5;255mHTTP 404 Not Found.[39m"
"davinci-pdex","hl7.fhir.us.davinci-pdex","current",FALSE,"No StructureDefinitions found"
"davinci-pas","hl7.fhir.us.davinci-pas","current",FALSE,"Registry download failed: [38;5;255mHTTP 404 Not Found.[39m"
"davinci-pas","hl7.fhir.us.davinci-pas","current",FALSE,"No StructureDefinitions found"
"davinci-dtr","hl7.fhir.us.davinci-dtr","current",FALSE,"Registry download failed: [38;5;255mHTTP 404 Not Found.[39m"
"davinci-dtr","hl7.fhir.us.davinci-dtr","current",FALSE,"No StructureDefinitions found"
"davinci-crd","hl7.fhir.us.davinci-crd","current",FALSE,"Registry download failed: [38;5;255mHTTP 404 Not Found.[39m"
"davinci-crd","hl7.fhir.us.davinci-crd","current",FALSE,"No StructureDefinitions found"
